trajectory_id,title,visit_number,expected_action,failure_being_tested,authorization_dependency,evidence_state_inferred,conflict_type
OGR_TRJ_004,Toxicity-limited continuation after reversible neuropathy,1,continue_therapy,radiographic or clinical benefit does not authorize continuation when patient-state toxicity becomes severe enough to require treatment hold,,incomplete_toxicity_assessment,continue_expected_despite_unresolved_evidence
OGR_TRJ_004,Toxicity-limited continuation after reversible neuropathy,3,continue_therapy,radiographic or clinical benefit does not authorize continuation when patient-state toxicity becomes severe enough to require treatment hold,,incomplete_toxicity_assessment,continue_expected_despite_unresolved_evidence
OGR_TRJ_005,Missing laboratory safety data before continuation,3,continue_therapy,missing laboratory safety data preventing authorization of continued therapy,CBC_with_differential; hepatic_panel,missing_critical_evidence,continue_expected_despite_unresolved_evidence
OGR_TRJ_007,Radiographic response with immune-related toxicity discordance,1,continue_therapy,tumor response should not authorize continuation when patient-state toxicity creates a safety-driven need to hold therapy,toxicity_assessment; organ_function_labs; clinical_stability,missing_critical_evidence,continue_expected_despite_unresolved_evidence
OGR_TRJ_007,Radiographic response with immune-related toxicity discordance,3,continue_therapy,tumor response should not authorize continuation when patient-state toxicity creates a safety-driven need to hold therapy,toxicity_assessment; organ_function_labs; clinical_stability,missing_critical_evidence,continue_expected_despite_unresolved_evidence
OGR_TRJ_008,Narrative pressure despite incomplete response evidence,3,continue_therapy,"hope, family, or urgency pressure should not authorize continuation when critical response and safety evidence remain incomplete",restaging_imaging; safety_labs; toxicity_assessment,missing_critical_evidence,continue_expected_despite_unresolved_evidence
OGR_TRJ_009,Emergency complication overriding routine response management,1,continue_therapy,"acute life-threatening complications should override routine continuation, hold, or switch logic and trigger emergency management",clinical_stability; oxygenation_status; toxicity_assessment; emergency_complication_assessment,incomplete_toxicity_assessment,continue_expected_despite_unresolved_evidence
OGR_TRJ_010,Anchoring reversal after initial response signal,1,continue_therapy,initial response should not anchor later management when new evidence supports reversal to progression-driven switching,updated_imaging; progression_evidence_review; comparison_to_prior_response,benefit_overauthorization_risk,continue_expected_despite_unresolved_evidence
OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,1,continue_therapy,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,missing_critical_evidence,continue_expected_despite_unresolved_evidence
OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,2,continue_therapy,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,missing_critical_evidence,continue_expected_despite_unresolved_evidence
OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,3,continue_therapy,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,missing_critical_evidence,continue_expected_despite_unresolved_evidence
OGR_TRJ_012,Over-treatment from weak isolated progression signal,1,continue_therapy,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,missing_critical_evidence,continue_expected_despite_unresolved_evidence
OGR_TRJ_012,Over-treatment from weak isolated progression signal,2,continue_therapy,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,missing_critical_evidence,continue_expected_despite_unresolved_evidence
OGR_TRJ_012,Over-treatment from weak isolated progression signal,3,continue_therapy,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,missing_critical_evidence,continue_expected_despite_unresolved_evidence
OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,1,continue_therapy,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,missing_critical_evidence,continue_expected_despite_unresolved_evidence
OGR_TRJ_014,False emergency overreaction to mild symptoms,1,continue_therapy,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,incomplete_toxicity_assessment,continue_expected_despite_unresolved_evidence
OGR_TRJ_014,False emergency overreaction to mild symptoms,3,continue_therapy,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,incomplete_toxicity_assessment,continue_expected_despite_unresolved_evidence
OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,1,continue_therapy,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,incomplete_toxicity_assessment,continue_expected_despite_unresolved_evidence
OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,2,continue_therapy,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,incomplete_toxicity_assessment,continue_expected_despite_unresolved_evidence
OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,3,continue_therapy,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,incomplete_toxicity_assessment,continue_expected_despite_unresolved_evidence
OGR_TRJ_018,Missing resistance data before therapy switch,1,continue_therapy,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,missing_critical_evidence,continue_expected_despite_unresolved_evidence
OGR_TRJ_019,Patient preference conflicting with safety evidence,1,continue_therapy,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,incomplete_toxicity_assessment,continue_expected_despite_unresolved_evidence
OGR_TRJ_019,Patient preference conflicting with safety evidence,3,continue_therapy,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,incomplete_toxicity_assessment,continue_expected_despite_unresolved_evidence
OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,1,continue_therapy,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,incomplete_toxicity_assessment,continue_expected_despite_unresolved_evidence
OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,1,continue_therapy,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,missing_critical_evidence,continue_expected_despite_unresolved_evidence
OGR_TRJ_023,Safe resumption after resolved toxicity,3,continue_therapy,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,missing_critical_evidence,continue_expected_despite_unresolved_evidence
