policy_name,policy_selected_action,count
unguided_model,escalate_evaluation,24
unguided_model,hold_therapy,6
safety_block_only,escalate_evaluation,24
safety_block_only,hold_therapy,6
no_definitive_router,escalate_evaluation,28
no_definitive_router,hold_therapy,2
hold_router_only,escalate_evaluation,20
hold_router_only,hold_therapy,10
switch_router_only,escalate_evaluation,18
switch_router_only,hold_therapy,6
switch_router_only,switch_therapy,6
emergency_router_only,emergency_toxicity_management,6
emergency_router_only,escalate_evaluation,18
emergency_router_only,hold_therapy,6
full_controller,emergency_toxicity_management,6
full_controller,escalate_evaluation,12
full_controller,hold_therapy,6
full_controller,switch_therapy,6
